Priority,File Path,Line,Category,English String,Indonesian Replacement,Status
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,64,Checkout Exception,"Checkout context is invalid.","Konteks checkout tidak valid.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,71,Session Exception,"Active POS session context is invalid.","Konteks sesi POS yang aktif tidak valid.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,76,Checkout Exception,"Idempotency key is required.","Kunci idempotency diperlukan.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,194,Cart Exception,"Cart must contain at least one line item.","Keranjang harus berisi setidaknya satu item baris.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,198,Customer Exception,"Customer is not resolved for checkout.","Pelanggan belum ditentukan untuk checkout.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,216,Payment Exception,"Grand total must be greater than zero.","Total akhir harus lebih besar dari nol.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,225,Payment Exception,"Payment must be fully paid.","Pembayaran harus dibayar sepenuhnya.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,273,Payment Exception,"Payment amount must be greater than zero.","Jumlah pembayaran harus lebih besar dari nol.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,277,Payment Exception,"Payment method is required.","Metode pembayaran diperlukan.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,289,Payment Exception,"Payment method not found or not enabled for this setting.","Metode pembayaran tidak ditemukan atau tidak diaktifkan untuk pengaturan ini.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,317,Payment Exception,"Multi-payment service not available.","Layanan pembayaran multi tidak tersedia.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,526,Session Exception,"POS session was not found.","Sesi POS tidak ditemukan.",PENDING
CRITICAL,/Modules/Pos/Services/FinalizePosCheckoutService.php,530,Session Exception,"POS session must be OPEN to finalize checkout.","Sesi POS harus DIBUKA untuk menyelesaikan checkout.",PENDING
CRITICAL,/Modules/Pos/Services/PosCartService.php,57,Quantity Exception,"Quantity must be at least 1.","Kuantitas harus minimal 1.",PENDING
CRITICAL,/Modules/Pos/Services/PosCartService.php,74,Unit Exception,"Conversion unit not found for this product.","Unit konversi tidak ditemukan untuk produk ini.",PENDING
CRITICAL,/Modules/Pos/Services/PosCartService.php,150,Stock Exception,"Requested quantity exceeds available stock for configured sales locations.","Kuantitas yang diminta melebihi stok tersedia untuk lokasi penjualan yang dikonfigurasi.",PENDING
CRITICAL,/Modules/Pos/Services/PosCartService.php,224,Cart Exception,"Cart line was not found.","Baris keranjang tidak ditemukan.",PENDING
