Kode Produk,Nama Produk,Stok di tangan,Batas Minimum,Satuan,Harga Rata-rata,Nilai
,*  BLUEPRINT PRINTER THERMAL BP - LITE 58X,0,1,PCS,"232,432.43",0.00
,*  BLUEPRINT SCANNER BARCODE OMNI 2D,2,1,PCS,"573,873.87","1,147,747.75"
,"* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",0,15,UNIT,"4,011,326.79",0.00
,* ACER 3 A314 22 AMD 3020E 4GB 256GB SSD,0,15,UNIT,"3,547,991.82",0.00
,* ACER 3 A314 22 AMD ATHLON SILVER 3050U 4GB SSD 256GB WIN 11,0,1,UNIT,"3,761,261.26",0.00
,* ACER 3 A314 23M RYZEN 5 7520U 8GB 512GB SSD WIN 11 PURE SILVER,0,1,UNIT,"5,932,432.43",0.00
,"* ACER 3 A314-22-R2C4 AMD RYZEN TM 3 3250U 4GB SSD 256GB 14""",0,1,UNIT,"4,819,350.60",0.00
,"* ACER 3 SLIM A314 35 INTEL N6000 4GB 256GB SSD 14 "" (KS)",0,1,UNIT,"3,918,918.92",0.00
,* ACER 5 A514 - 54 - 3427-Ci3-1115G4 4GB 512GB SSD WIN 10,0,1,UNIT,"6,875,757.58",0.00
,"* ACER 5 A514 - 54G - 32GJ Ci3-1115G4 8GB 512GB SSD MX 350 2GB WIN 11 14""",0,1,UNIT,"5,747,604.59",0.00
,* ACER 5 A514 - 55 Ci5 - 1235U 8GB 512GB SSD WIN 11,0,1,UNIT,"8,280,180.18",0.00
,* ACER 5 A514 I7-1255U 8GB 512GB SSD WIN11,0,1,UNIT,"10,639,639.64",0.00
,* ACER 5 A514-54 Ci5-1135G7 8GB 512GB SSD VGA IRIS XE,0,1,UNIT,"8,752,252.25",0.00
,* ACER 5 A514-54G-78MW Ci7-1165G7 8GB 512GB SSD VGA,0,1,UNIT,"11,248,863.64",0.00
,* ACER 5 SLIM A514 -54 CI3-1115G4 4GB 512GB SSD W11,0,1,UNIT,"5,591,591.59",0.00
,"* ACER 5 SLIM A514 54  I3-1115G4 4GB 256 SSD 14""",0,1,UNIT,"5,315,315.32",0.00
,* ACER 5 SPIN 14 A5SP14 - 51MTN Ci7 1355U 16GB 512GB SSD INTEL IRIS XE WIN 11,0,1,UNIT,"12,045,045.05",0.00
,* ACER A514 56P I5-1335U 8GB SSD 512GB WIN 11 #,0,1,UNIT,"7,725,225.23",0.00
,* ACER AL14-31P INTEL N100 8GB 512GB WIN 11 #,0,40,UNIT,"4,278,032.19",0.00
,* ACER ASPIRE 14 A14 51M CORE 7 150U 16GB 512GB SSD WIN 11 #,0,1,UNIT,"10,896,396.40",0.00
,"* ACER ASPIRE 14"" A14-51M CORE 5 120U 16GB 512GB SSD WIN 11",0,1,UNIT,"8,594,594.59",0.00
,"* ACER ASPIRE 14"" AI A14-51GM Ci5 13420H 8GB 512GB SSD RTX 2050 4GB WIN 11 #",0,1,UNIT,"8,630,630.63",0.00
,* ACER ASPIRE 3 SPIN 14A3SP14-31PT Ci3-N305 8GB 512GB SSD WIN 11 TOUCH EK,0,1,UNIT,"7,103,603.60",0.00
,"* ACER ASPIRE 5 A514-53-36N5 BLACK i3 1005G1 WIN10 (14""FHD/UMA/512GB SSD/4GB)",0,1,UNIT,"5,900,000.00",0.00
,"* ACER ASPIRE 5 A514-53-36N5 SILVER i3 1005G1 WIN10 (14"" FHD/UMA/512GB SSD/4GB)",0,1,UNIT,"5,900,000.00",0.00
,"* ACER ASPIRE 7 PRO A715 i5-12450H 8GB 512GB SSD WIN 11 15,6"" RTX 3050 6GB",0,1,UNIT,"8,909,909.91",0.00
,* ACER ASPIRE 7 PRO A715-59G INTEL CORE i5 - 12450H 16GB DDR4 512GB SSD RTX 3050 6GB WIN 11,0,1,UNIT,"9,090,090.09",0.00
,* ACER ASPIRE GO 14 AG14-72P INTEL CORE 5 120U 8GB DDR4 512GB SSD WIN 11,3,1,UNIT,"7,180,180.18","21,540,540.54"
,* ACER ASPIRE LITE 14 AL14 i3 N355 8GB 256GB SSD WIN 11,31,1,UNIT,"4,742,213.64","147,008,622.91"
,* ACER ASPIRE LITE AL1 14 Ci3 1215 8GB 512GB WIN 11 RS,0,0,PCS,"5,286,286.29",0.00
,* ACER ASPIRE LITE AL14 51M Ci5 1235U 8GB 512GB SSD WIN 11 #,0,1,UNIT,"7,319,819.82",0.00
,* ACER ASPIRE LITE AL14 52M Ci5 1334U 16GB 512GB SSD WIN 11,0,0,UNIT,"7,286,036.04",0.00
,* ACER ASPIRE LITE AL14 52M Ci5 1334U 8GB 512GB SSD WIN 11 #,0,1,UNIT,"7,450,450.45",0.00
,* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,37,1,UNIT,"4,141,953.68","153,252,286.33"
,* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,34,1,UNIT,"4,352,510.41","147,985,353.77"
,* ACER ASPIRE LITE AL14-31P INTEL CEL N100 8GB 256GB SSD WIN 11 #,0,1,UNIT,"4,057,057.06",0.00
,* ACER ASPIRE LITE AL14-32P-3S16 INTEL CORE 3 N355 16GB DDR5 512GB SSD WIN 11,1,1,UNIT,"5,536,036.04","5,536,036.04"
,"* ACER ASPIRELITE AL14 - 32 Ci3 N355 8GB 512GB SSD 14"" WIN 11",6,1,UNIT,"5,110,715.98","30,664,295.87"
,* ACER EXTENSA 15 EX215-31  INTEL N4020 4GB SSD 256GB,0,1,UNIT,"4,477,272.73",0.00
,* ACER GO ASPIRE 14 AG14-31P-34GM Ci3-N305 8GB 512GB SSD WIN 11 #,0,1,UNIT,"5,157,657.66",0.00
,"* ACER LITE AL14 51M 14"" Ci3 1215U 16GB 256GB SSD WIN 11",0,1,UNIT,"5,576,576.58",0.00
,"* ACER LITE AL14 51M 14"" Ci3 1215U 8GB 256GB SSD WIN 11 #",0,1,UNIT,"5,193,693.69",0.00
,* ACER LITE AL14-51M i5-1235U 16GB 512GB SSD WIN 11 SILVER #,0,1,UNIT,"8,600,000.00",0.00
,* ACER MATE 14 AM1 INTEL CORE i5 - 1235U 16GB DDR4 512GB SSD WIN 11 + OHS,0,1,UNIT,"6,936,936.94",0.00
,* ACER NITRO 5 AN515-57-52BQ CI5-11400H 8GB 512GB SSD RTX 3050 4GB W11 NW,0,1,UNIT,"12,087,387.39",0.00
,* ACER NITRO V15 ANV15 - 51 Ci7-13620H 2X8GB DDR5  512SSD RTX 2050 4GB GDDR6 WIN 11 #,0,1,UNIT,"12,117,117.12",0.00
,* ACER NITRO V15 ANV15 51 542G Ci5 - 13420H 8GB 512GB SSD RTX 2050 4GB WIN 11,0,1,UNIT,"9,270,270.27",0.00
,* ACER PREDATOR NITRO 5 AN515 - 58 Ci5-12500H 8 512 SSD RTX 3050 WIN 11 #,0,1,UNIT,"10,585,585.59",0.00
,* ACER SPIN 3 i3 - N305 8GB SSD 512GB WIN 11 #,0,1,UNIT,"7,364,873.87",0.00
,* ACER SWIFT 14 SF14-71T Ci7-13700H 16GB 1TB SSD IRIS XE GRAPHICHS 96 EU WIN 11 #,0,1,UNIT,"15,126,126.13",0.00
,* ACER SWIFT GO OLED 14 SFG14 CORE ULTRA 7 155H 16GB 512GB SSD WIN 11 #,0,1,UNIT,"13,279,279.28",0.00
,* ACER SWIFT X SFX14 72G CORE ULTRA 7 155H 32GB 1TB SSD RTX 4050 6GB WIN 11 *,0,1,UNIT,"21,617,117.12",0.00
,"* ACER TRAVEL MATE TMP214-52 CI3-10110 4GB 512GB SSD 14""",0,1,UNIT,"5,354,327.54",0.00
,* ACER TRAVELMATE P214 CORE I7 1335U 8GB 512GB SSD WIN 11 VGA 4GB WIN 11,0,1,UNIT,"14,562,162.16",0.00
,"* ACER VERO AV15-51-547X CI5 1155G7 8GB SSD 512GB VGA IRIS XE 15,6""",0,1,UNIT,"9,576,576.58",0.00
,* ADAPTOR ACER 12V 2A (1410),9,1,PCS,"67,567.57","608,108.11"
,* ADAPTOR ACER 19V 2.1A (TO),10,1,PCS,"58,558.56","585,585.59"
,* ADAPTOR ACER 19V 3.0*1.1 SWIFT,11,1,PCS,"67,567.57","743,243.24"
,* ADAPTOR ACER OR 19V 3.42A (KUNING),12,1,PCS,"67,567.57","810,810.81"
,* ADAPTOR ASUS 1.75A (USB),5,1,PCS,"72,072.07","360,360.36"
,* ADAPTOR ASUS 19V 3.42A (KT),15,1,PCS,"67,567.57","1,013,513.51"
,"* ADAPTOR ASUS 19V 3.42A CL VIVO 4,5 X 3.0",13,1,PCS,"67,567.57","878,378.38"
,* ADAPTOR ASUS 3.42A (A407),15,1,PCS,"67,567.57","1,013,513.51"
,* ADAPTOR AXIOO HYPE 1 12V 2A,2,1,PCS,"67,567.57","135,135.14"
,* ADAPTOR AXIOO HYPE 10,1,1,PCS,"67,567.57","67,567.57"
,* ADAPTOR HP 19V 3.5A (BUNDAR JARUM),10,1,PCS,"61,261.26","612,612.61"
,* ADAPTOR HP BIRU 19.5V 3.33A,14,1,PCS,"52,252.25","731,531.53"
,* ADAPTOR LENOVO 20V 3.25A (S),14,1,PCS,"67,567.57","945,945.95"
