Nama Akun,Tanggal,Transaksi,Nomor,Keterangan,Debit,Kredit,Saldo,Tags
(1-10001) Kas,19/06/2026,Saldo Awal,"","",0.0,0.0,22428771356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202882,Sales Invoice #JL.2026.14245,820000.0,0.0,22429591356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202883,Sales Invoice #JL.2026.14246,1530000.0,0.0,22431121356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202884,Sales Invoice #JL.2026.14247,1750000.0,0.0,22432871356.66,
(1-10001) Kas,20/06/2026,Purchase Payment,27881,Purchase Invoice #JL5526050582,0.0,6400000.0,22426471356.66,AGUS
(1-10001) Kas,20/06/2026,Purchase Payment,27882,Purchase Invoice #JKT-JKT01A-NC26041699,0.0,7000000.0,22419471356.66,
(1-10001) Kas,20/06/2026,Purchase Payment,27883,Purchase Invoice #JKT-JKT01A-NC26041699,0.0,7000000.0,22412471356.66,
(1-10001) Kas,20/06/2026,Purchase Payment,27885,Purchase Invoice #JKT-JKT01A-NC26041699,0.0,7500000.0,22404971356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202885,Sales Invoice #JL.2026.14248,580000.0,0.0,22405551356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202886,Sales Invoice #JL.2026.14249,35000.0,0.0,22405586356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202887,Sales Invoice #JL.2026.14157,778000.0,0.0,22406364356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202888,Sales Invoice #JL.2026.14250,706000.0,0.0,22407070356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202889,Sales Invoice #JL.2026.14252,14450000.0,0.0,22421520356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202890,Sales Invoice #JL.2026.14253,505000.0,0.0,22422025356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202891,Sales Invoice #JL.2026.14254,4700000.0,0.0,22426725356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202892,Sales Invoice #JL.2026.14255,4700000.0,0.0,22431425356.66,
(1-10001) Kas,20/06/2026,Receive Payment,202893,Sales Invoice #JL.2026.14256,442500.0,0.0,22431867856.66,
(1-10001) Kas,20/06/2026,Receive Payment,202894,Sales Invoice #JL.2026.14257,1440100.0,0.0,22433307956.66,
(1-10001) Kas,20/06/2026,Receive Payment,202895,Sales Invoice #JL.2026.14258,50000.0,0.0,22433357956.66,SERVICE
(1-10001) Kas,20/06/2026,Receive Payment,202896,Sales Invoice #JL.2026.14259,1098500.0,0.0,22434456456.66,
(1-10001) Kas,20/06/2026,Receive Payment,202897,Sales Invoice #JL.2026.14260,500000.0,0.0,22434956456.66,
(1-10001) Kas,20/06/2026,Purchase Payment,27886,Purchase Invoice #FK 5191,0.0,17678000.0,22417278456.66,CV TIGA NUSA
(1-10001) Kas,20/06/2026,Purchase Payment,27887,Purchase Invoice #JL.2605.05827,0.0,15200000.0,22402078456.66,CV TIGA NUSA
(1-10001) Kas,20/06/2026,Purchase Payment,27888,Purchase Invoice #JL.2605.05662,0.0,4835000.0,22397243456.66,CV TIGA NUSA
(1-10001) Kas,20/06/2026,Purchase Payment,27889,Purchase Invoice #JL.2605.05740,0.0,1375000.0,22395868456.66,CV TIGA NUSA
(1-10001) Kas,20/06/2026,Receive Payment,202898,Sales Invoice #JL.2026.14261,451000.0,0.0,22396319456.66,
(1-10001) Kas,20/06/2026,Receive Payment,202899,Sales Invoice #JL.2026.14262,30000.0,0.0,22396349456.66,SERVICE
(1-10001) Kas,20/06/2026,Receive Payment,202900,Sales Invoice #JL.2026.14264,13000000.0,0.0,22409349456.66,
(1-10001) Kas,20/06/2026,Purchase Payment,27890,Purchase Invoice #JK/26/06/0043,0.0,13700000.0,22395649456.66,RAHMAT
