Kategori / Tanggal,Transaksi,Nomor,Keterangan,Jumlah
12/01/2026	,Expense,10485	,,4431949.0
12/01/2026	,Expense,10487	,,2125735.0
12/01/2026	,Expense,10488	,,1529580.0
12/01/2026	,Expense,10489	,,1053765.0
12/01/2026	,Expense,10486	,,1400000.0
31/01/2026	,Expense,10477	,,851460.0
11/02/2026	,Expense,10480	,,3229520.0
11/02/2026	,Expense,10483	,,2705350.0
11/02/2026	,Expense,10484	,,663750.0
11/02/2026	,Expense,10479	,,6500.0
11/02/2026	,Expense,10482	,,880000.0
11/02/2026	,Expense,10481	,,5680881.0
12/03/2026	,Expense,10490	,,2005350.0
12/03/2026	,Expense,10491	,,1002285.0
12/03/2026	,Expense,10492	,,1341500.0
12/03/2026	,Expense,10493	,,318250.0
12/03/2026	,Expense,10494	,,5680881.0
12/03/2026	,Expense,10495	,,1025000.0
13/04/2026	,Expense,10498	,,1665000.0
13/04/2026	,Expense,10502	,,1040000.0
13/04/2026	,Expense,10503	,,5680881.0
13/04/2026	,Expense,10499	,,192400.0
13/04/2026	,Expense,10500	,,887500.0
13/04/2026	,Expense,10501	,,102500.0
11/05/2026	,Expense,10509	,,1295000.0
11/05/2026	,Expense,10508	,,771000.0
11/05/2026	,Expense,10507	,,438485.0
11/05/2026	,Expense,10506	,,803750.0
11/05/2026	,Expense,10505	,,1000000.0
14/05/2026	,Expense,10510	,,633550.0
14/05/2026	,Expense,10511	,,321750.0
14/05/2026	,Expense,10512	,,5680881.0
14/05/2026	,Expense,10513	,,1380625.0
14/05/2026	,Expense,10514	,,650000.0
14/05/2026	,Expense,10515	,,130825.0
13/06/2026	,Expense,10522	,,5680881.0
13/06/2026	,Expense,10521	,,875000.0
13/06/2026	,Expense,10520	,,964250.0
13/06/2026	,Expense,10519	,,208850.0
13/06/2026	,Expense,10518	,,184675.0
13/06/2026	,Expense,10517	,,106250.0
06/01/2026	,Expense,10476	,,321012.0
01/02/2026	,Expense,10478	,,301764.0
12/03/2026	,Expense,10496	,,284283.0
02/04/2026	,Expense,10497	,,263624.0
02/05/2026	,Expense,10504	,,303353.0
01/06/2026	,Expense,10516	,,319245.0

