Kode Barang,Barang,Tanggal,Tipe Transaksi,No. Transaksi,Deskripsi,Mutasi,Stok di Tangan,Unit
"",*  BLUEPRINT PRINTER THERMAL BP - LITE 58X,31/05/2026,Saldo Awal,"","","",0.0,PCS
"",*  BLUEPRINT SCANNER BARCODE OMNI 2D,31/05/2026,Saldo Awal,"","","",0.0,PCS
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 3 A314 22 AMD 3020E 4GB 256GB SSD,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 3 A314 22 AMD ATHLON SILVER 3050U 4GB SSD 256GB WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 3 A314 23M RYZEN 5 7520U 8GB 512GB SSD WIN 11 PURE SILVER,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER 3 A314-22-R2C4 AMD RYZEN TM 3 3250U 4GB SSD 256GB 14""",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 3 Slim A314 - 35 - C8Z3 N5100 4GB 1TB HDD WIN10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 3 SLIM A314 35 INTEL N5100 8GB 256GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER 3 SLIM A314 35 INTEL N6000 4GB 256GB SSD 14 "" (KS)",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 5 A514 - 54 - 3427-Ci3-1115G4 4GB 512GB SSD WIN 10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER 5 A514 - 54G - 32GJ Ci3-1115G4 8GB 512GB SSD MX 350 2GB WIN 11 14""",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 5 A514 - 55 Ci5 - 1235U 8GB 512GB SSD WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 5 A514 52K 35TY Ci3 HDD 1TB W10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 5 A514 54 Ci5-1135G7 8GB SSD 512GB MX 350 WIN10 (AN),31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 5 A514 55 i5-1235U 8GB 512GB SSD MX 550 2GB WIN 11 nw,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 5 A514 I7-1255U 8GB 512GB SSD WIN11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 5 A514-54 Ci5-1135G7 8GB 512GB SSD VGA IRIS XE,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 5 A514-54G-78MW Ci7-1165G7 8GB 512GB SSD VGA,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 5 SLIM A514 -54 CI3-1115G4 4GB 512GB SSD W11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER 5 SLIM A514 54  I3-1115G4 4GB 256 SSD 14""",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER 5 SPIN 14 A5SP14 - 51MTN Ci7 1355U 16GB 512GB SSD INTEL IRIS XE WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER A314 32 CEL N4100 4GB 1TB (BLACK),31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER A314 32 CEL N4120 4GB 1TB (BLUE),31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER A314 35 INTEL - N5100 SSD 8GB 512GB WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER A314-23M AMR RYZEN 3 7320U 8GB 512GB SSD WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER A514 52G 58KX Ci5-10210U HDD 1TB VGA W10,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER A514 56P I5-1335U 8GB SSD 512GB WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER AL14-31P INTEL N100 8GB 512GB WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER ASPIRE 14 A14 51M CORE 7 150U 16GB 512GB SSD WIN 11 #,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER ASPIRE 14"" A14-51M CORE 5 120U 16GB 512GB SSD WIN 11",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER ASPIRE 14"" AI A14-51GM Ci5 13420H 8GB 512GB SSD RTX 2050 4GB WIN 11 #",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER ASPIRE 3 A314 33 C27F CEL-N4120 WIN 10 (BLACK),31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* Acer Aspire 3 A314 33 C8DR CEL-N4000 4GB HDD 1TB DVD WIN10 (Opsidian Black),31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* Acer Aspire 3 A314 41 42PE AMD A4 HDD 1TB DVD (HITAM),31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* Acer Aspire 3 A314 41 455L AMD A4 HDD 1TB DVD (BLUE),31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER ASPIRE 3 SPIN 14A3SP14-31PT Ci3-N305 8GB 512GB SSD WIN 11 TOUCH EK,31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER ASPIRE 5 A514 52K 34UP  I3 8130U WIN10 (14""/UMA/1TB/4GB) (BLACK)",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER ASPIRE 5 A514-53-36N5 BLACK i3 1005G1 WIN10 (14""FHD/UMA/512GB SSD/4GB)",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER ASPIRE 5 A514-53-36N5 SILVER i3 1005G1 WIN10 (14"" FHD/UMA/512GB SSD/4GB)",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"","* ACER ASPIRE 7 PRO A715 i5-12450H 8GB 512GB SSD WIN 11 15,6"" RTX 3050 6GB",31/05/2026,Saldo Awal,"","","",0.0,UNIT
"",* ACER ASPIRE 7 PRO A715-59G INTEL CORE i5 - 12450H 16GB DDR4 512GB SSD RTX 3050 6GB WIN 11,31/05/2026,Saldo Awal,"","","",0.0,UNIT
