Kategori Akun,Nomor Akun,Daftar Akun,Saldo Awal Debit,Saldo Awal Credit,Pergerakan Debit,Pergerakan Credit,Saldo Akhir Debit,Saldo Akhir Credit
Assets,1-10001,Kas,22410319166.86,0.0,671798800.0,649044310.2,22433073656.66,0.0
Assets,1-10002,Rekening Bank,100000000.0,0.0,0.0,0.0,100000000.0,0.0
Assets,1-10100,Piutang Usaha,256894744.01,0.0,625940300.0,671798800.0,211036244.01,0.0
Assets,1-10200,Persediaan Barang,5776002385.83,0.0,435693233.84,512821871.1,5698873748.57,0.0
Assets,1-10500,PPN Masukan,4094241925.74,0.0,15476801.8,0.0,4109718727.54,0.0
Liability,2-20100,Hutang Usaha,0.0,2448396235.21,649044310.2,449084000.0,0.0,2248435925.01
Liability,2-20500,PPN Keluaran,0.0,4219839253.74,0.0,17482131.53,0.0,4237321385.27
Equity,3-30002,Modal CV,0.0,200000000.0,0.0,0.0,0.0,200000000.0
Income,4-40000,Pendapatan,0.0,224198275928.0,0.0,608508168.47,0.0,224806784096.46
Income,4-40100,Diskon Penjualan,215709962.81,0.0,50000.0,0.0,215759962.81,0.0
Income,7-70003,Rounding,0.0,0.0,0.0,0.0,0.0,0.0
Income,7-70099,Pendapatan Lain - lain,0.0,29646325.0,0.0,0.0,0.0,29646325.0
Expense,5-50000,Beban Pokok Pendapatan,197466226003.27,0.0,512821871.1,0.0,197979047874.37,0.0
Expense,5-50201,BPJS KESEHATAN,445000.0,0.0,0.0,0.0,445000.0,0.0
Expense,5-50202,pajak cv,32116231.0,0.0,0.0,0.0,32116231.0,0.0
Expense,5-50203,PROGRAM TOKO,3995804.0,0.0,0.0,0.0,3995804.0,0.0
Expense,5-50204,KONSULTAN PAJAK,57600000.0,0.0,0.0,0.0,57600000.0,0.0
Expense,5-50300,Pengiriman & Pengangkutan,13141378.56,0.0,0.0,0.0,13141378.56,0.0
Expense,6-60101,Gaji,3200000.0,0.0,0.0,0.0,3200000.0,0.0
Expense,6-60217,PAJAK,1004043.0,0.0,0.0,0.0,1004043.0,0.0
Expense,6-60301,Alat Tulis Kantor & Printing,154545.45,0.0,0.0,0.0,154545.45,0.0
Expense,8-80003,telkom,30682495.0,0.0,0.0,0.0,30682495.0,0.0
Expense,8-80004,PDAM,1326622.0,0.0,0.0,0.0,1326622.0,0.0
Expense,8-80005,PLN,13247678.0,0.0,0.0,0.0,13247678.0,0.0
Expense,8-80100,Penyesuaian Persediaan,0.0,49519592.61,0.0,2086035.64,0.0,51605628.25
Expense,9-90000,Beban Pajak - Kini,675773712.0,0.0,0.0,0.0,675773712.0,0.0
