Gudang,Kode Produk,Nama Produk,Qty,Min. Qty,Satuan Produk,Harga Rata-rata,Nilai Persediaan
Unassigned,,*  BLUEPRINT PRINTER THERMAL BP - LITE 58X,0,1,PCS,232432.432432,0
Unassigned,,*  BLUEPRINT SCANNER BARCODE OMNI 2D,0,1,PCS,573873.873874,0
Unassigned,,"* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",0,15,UNIT,4011326.78841,0
Unassigned,,* ACER 3 A314 22 AMD 3020E 4GB 256GB SSD,0,15,UNIT,3547991.823848,0
Unassigned,,* ACER 3 A314 22 AMD ATHLON SILVER 3050U 4GB SSD 256GB WIN 11,0,1,UNIT,3761261.261261,0
Unassigned,,* ACER 3 A314 23M RYZEN 5 7520U 8GB 512GB SSD WIN 11 PURE SILVER,0,1,UNIT,5932432.432432,0
Unassigned,,"* ACER 3 A314-22-R2C4 AMD RYZEN TM 3 3250U 4GB SSD 256GB 14""",0,1,UNIT,4819350.600601,0
Unassigned,,"* ACER 3 SLIM A314 35 INTEL N6000 4GB 256GB SSD 14 "" (KS)",0,1,UNIT,3918918.918919,0
Unassigned,,* ACER 5 A514 - 54 - 3427-Ci3-1115G4 4GB 512GB SSD WIN 10,0,1,UNIT,6875757.575758,0
Unassigned,,"* ACER 5 A514 - 54G - 32GJ Ci3-1115G4 8GB 512GB SSD MX 350 2GB WIN 11 14""",0,1,UNIT,5747604.587445,0
Unassigned,,* ACER 5 A514 - 55 Ci5 - 1235U 8GB 512GB SSD WIN 11,0,1,UNIT,8280180.18018,0
Unassigned,,* ACER 5 A514 I7-1255U 8GB 512GB SSD WIN11,0,1,UNIT,10639639.63964,0
Unassigned,,* ACER 5 A514-54 Ci5-1135G7 8GB 512GB SSD VGA IRIS XE,0,1,UNIT,8752252.252252,0
Unassigned,,* ACER 5 A514-54G-78MW Ci7-1165G7 8GB 512GB SSD VGA,0,1,UNIT,11248863.636364,0
Unassigned,,* ACER 5 SLIM A514 -54 CI3-1115G4 4GB 512GB SSD W11,0,1,UNIT,5591591.591592,0
Unassigned,,"* ACER 5 SLIM A514 54  I3-1115G4 4GB 256 SSD 14""",0,1,UNIT,5315315.315315,0
Unassigned,,* ACER 5 SPIN 14 A5SP14 - 51MTN Ci7 1355U 16GB 512GB SSD INTEL IRIS XE WIN 11,0,1,UNIT,12045045.045045,0
Unassigned,,* ACER A514 56P I5-1335U 8GB SSD 512GB WIN 11 #,0,1,UNIT,7725225.225225,0
Unassigned,,* ACER AL14-31P INTEL N100 8GB 512GB WIN 11 #,0,40,UNIT,4278032.186931,0
Unassigned,,* ACER ASPIRE 14 A14 51M CORE 7 150U 16GB 512GB SSD WIN 11 #,0,1,UNIT,10896396.396396,0
Unassigned,,"* ACER ASPIRE 14"" A14-51M CORE 5 120U 16GB 512GB SSD WIN 11",0,1,UNIT,8594594.594595,0
Unassigned,,"* ACER ASPIRE 14"" AI A14-51GM Ci5 13420H 8GB 512GB SSD RTX 2050 4GB WIN 11 #",0,1,UNIT,8630630.630631,0
Unassigned,,* ACER ASPIRE 3 SPIN 14A3SP14-31PT Ci3-N305 8GB 512GB SSD WIN 11 TOUCH EK,0,1,UNIT,7103603.603604,0
Unassigned,,"* ACER ASPIRE 5 A514-53-36N5 BLACK i3 1005G1 WIN10 (14""FHD/UMA/512GB SSD/4GB)",0,1,UNIT,5900000,0
Unassigned,,"* ACER ASPIRE 5 A514-53-36N5 SILVER i3 1005G1 WIN10 (14"" FHD/UMA/512GB SSD/4GB)",0,1,UNIT,5900000,0
Unassigned,,"* ACER ASPIRE 7 PRO A715 i5-12450H 8GB 512GB SSD WIN 11 15,6"" RTX 3050 6GB",0,1,UNIT,8909909.90991,0
Unassigned,,* ACER ASPIRE 7 PRO A715-59G INTEL CORE i5 - 12450H 16GB DDR4 512GB SSD RTX 3050 6GB WIN 11,0,1,UNIT,9090090.09009,0
Unassigned,,* ACER ASPIRE GO 14 AG14-72P INTEL CORE 5 120U 8GB DDR4 512GB SSD WIN 11,0,1,UNIT,7915915.915916,0
Unassigned,,* ACER ASPIRE LITE 14 AL14 i3 N355 8GB 256GB SSD WIN 11,8,1,UNIT,4742213.642214,37937709.137712
Unassigned,,* ACER ASPIRE LITE AL1 14 Ci3 1215 8GB 512GB WIN 11 RS,1,0,PCS,5286286.286286,5286286.286286
Unassigned,,* ACER ASPIRE LITE AL14 51M Ci5 1235U 8GB 512GB SSD WIN 11 #,0,1,UNIT,7319819.81982,0
Unassigned,,* ACER ASPIRE LITE AL14 52M Ci5 1334U 16GB 512GB SSD WIN 11,0,0,UNIT,7286036.036036,0
Unassigned,,* ACER ASPIRE LITE AL14 52M Ci5 1334U 8GB 512GB SSD WIN 11 #,0,1,UNIT,7450450.45045,0
Unassigned,,* ACER ASPIRE LITE AL14 N150 8GB 256GB SSD WIN 11 #,11,1,UNIT,4311747.131449,47429218.445939
Unassigned,,* ACER ASPIRE LITE AL14 N150 8GB 512GB SSD WIN 11,9,1,UNIT,4525064.429371,40725579.864339
Unassigned,,* ACER ASPIRE LITE AL14 N4500 8GB 512GB SSD WIN 11,6,1,UNIT,5675675.675676,34054054.054056
Unassigned,,* ACER ASPIRE LITE AL14-31P INTEL CEL N100 8GB 256GB SSD WIN 11 #,0,1,UNIT,4057057.057057,0
Unassigned,,* ACER ASPIRE LITE AL14-32P-3S16 INTEL CORE 3 N355 16GB DDR5 512GB SSD WIN 11,0,1,UNIT,5966216.216216,0
Unassigned,,"* ACER ASPIRELITE AL14 - 32 Ci3 N355 8GB 512GB SSD 14"" WIN 11",5,1,UNIT,5215524.735261,26077623.676305
Unassigned,,* ACER EXTENSA 15 EX215-31  INTEL N4020 4GB SSD 256GB,0,1,UNIT,4477272.727273,0
Unassigned,,* ACER GO ASPIRE 14 AG14-31P-34GM Ci3-N305 8GB 512GB SSD WIN 11 #,0,1,UNIT,5157657.657658,0
Unassigned,,"* ACER LITE AL14 51M 14"" Ci3 1215U 16GB 256GB SSD WIN 11",0,1,UNIT,5576576.576577,0
Unassigned,,"* ACER LITE AL14 51M 14"" Ci3 1215U 8GB 256GB SSD WIN 11 #",0,1,UNIT,5193693.693694,0
Unassigned,,* ACER LITE AL14-51M i5-1235U 16GB 512GB SSD WIN 11 SILVER #,0,1,UNIT,8600000,0
Unassigned,,* ACER MATE 14 AM1 INTEL CORE i5 - 1235U 16GB DDR4 512GB SSD WIN 11 + OHS,0,1,UNIT,6936936.936937,0
Unassigned,,* ACER NITRO 5 AN515-57-52BQ CI5-11400H 8GB 512GB SSD RTX 3050 4GB W11 NW,0,1,UNIT,12087387.387387,0
Unassigned,,* ACER NITRO V15 ANV15 - 51 Ci7-13620H 2X8GB DDR5  512SSD RTX 2050 4GB GDDR6 WIN 11 #,0,1,UNIT,12117117.117117,0
Unassigned,,* ACER NITRO V15 ANV15 51 542G Ci5 - 13420H 8GB 512GB SSD RTX 2050 4GB WIN 11,0,1,UNIT,9270270.27027,0
Unassigned,,* ACER PREDATOR NITRO 5 AN515 - 58 Ci5-12500H 8 512 SSD RTX 3050 WIN 11 #,0,1,UNIT,10585585.585586,0
Unassigned,,* ACER SPIN 3 i3 - N305 8GB SSD 512GB WIN 11 #,0,1,UNIT,7364873.873874,0
Unassigned,,* ACER SWIFT 14 SF14-71T Ci7-13700H 16GB 1TB SSD IRIS XE GRAPHICHS 96 EU WIN 11 #,0,1,UNIT,15126126.126126,0
Unassigned,,* ACER SWIFT GO OLED 14 SFG14 CORE ULTRA 7 155H 16GB 512GB SSD WIN 11 #,0,1,UNIT,13279279.279279,0
