Kode produk / SKU,Nama produk,Qty pembelian,Qty retur,Unit,Nilai pembelian,Nilai retur,Nilai pembelian rata-rata
"","* AIO ASUS A3202WBAK INTEL 7305 8GB 256GB SSD 21,5"" WIN 11",8.0,0.0,UNIT,42090090.09,0.0,5261261.26
"",* ASUS GAMING V16 V3607VU INTEL CORE 7 - 240H 16GB DDR5 512GB SSD RTX4050 6GB WIN 11,1.0,0.0,UNIT,16117117.12,0.0,16117117.12
"",* ASUS TUF Gaming A15 FA506NCG AMD Ryzen 7 7445HS 16GB DDR5 512GB RTX3050 4GB W11,2.0,0.0,UNIT,22324324.32,0.0,11162162.16
"",* ASUS VIVOBOOK 14 E410KA N4500 8GB 256GB SSD WIN 11,5.0,0.0,UNIT,26576576.58,0.0,5315315.32
"",* ASUS VIVOBOOK GO 14 E1404FA - FHD AMD RYZEN 3 7320U 8GB 512GB SSD WIN 11 #,5.0,0.0,UNIT,33333333.33,0.0,6666666.67
"",* BROTHER DCP L2540 DW,2.0,0.0,UNIT,5486486.49,0.0,2743243.24
"",* HP 14 INTEL CORE i3 - 1315U 8GB DDR4 512GB SSD WIN 11,5.0,0.0,UNIT,33558558.56,0.0,6711711.71
"",* LENOVO GAMING LOQ 15ARP10E AMD RYZEN 7 170 16GB DDR5 512GB SSD RTX 3050 6GB WIN 11,1.0,0.0,UNIT,11522522.52,0.0,11522522.52
"",* PRINTER EPSON L121,1.0,0.0,UNIT,1310810.81,0.0,1310810.81
"",* PRINTER EPSON L5290,2.0,0.0,UNIT,6846846.85,0.0,3423423.42
"",* PRINTER LABEL THERMAL STIKER BP-ECO80BT,2.0,0.0,Buah,1200000.0,0.0,600000.0
"",* SCANNER EPSON ES - C320W,1.0,0.0,UNIT,4639639.64,0.0,4639639.64
"",*ACER GO 14 AG14 CORE ULTRA 5 125H 16GB 512GB,3.0,0.0,UNIT,29702702.7,0.0,9900900.9
"",*LENOVO GAMING LOQ 15ARP10E AMD RYZEN 7 7735HS 16GB 512GB SSD RTX 3050 6GB WIN 11,2.0,0.0,UNIT,23495495.5,0.0,11747747.75
"",ACER ASPIRE LITE AL14 N4500 8GB 256GB SSD WIN 11,2.0,0.0,UNIT,12180000.0,0.0,6090000.0
"",ACER ASPIRE LITE AL14 N4500 8GB 512GB SSD WIN 11,9.0,0.0,UNIT,58320000.0,0.0,6480000.0
"",ADAPTOR ACER 12 - 3A 3.5 X 1.35 N100,2.0,0.0,PCS,360000.0,0.0,180000.0
"",ADAPTOR ACER TYPE C,5.0,0.0,PCS,600000.0,0.0,120000.0
"",ADAPTOR ASUS 19V 2.37A (X441),30.0,0.0,PCS,2250000.0,0.0,75000.0
"",ADAPTOR ASUS 20V 325A CL TYPE C,5.0,0.0,PCS,600000.0,0.0,120000.0
"",ADAPTOR LENOVO USB 20V - 3.25A #,20.0,0.0,PCS,1400000.0,0.0,70000.0
"",ADAPTOR NVR,1.0,0.0,PCS,110000.0,0.0,110000.0
"",ADVAN SOULMATE X1 L25D - DALI1 AMD ATHLON 3020E 4GB DDR4 128GB WIN 11 TP,1.0,0.0,UNIT,3590000.0,0.0,3590000.0
"","AIO ASUS A3202WBAK INTEL 7305 8GB 256GB SSD 21,5"" WIN 11 #",5.0,0.0,UNIT,29050000.0,0.0,5810000.0
"","AIO ASUS A3202WBAK INTEL 7305 8GB 512GB SSD 21,5"" WIN 11 #",2.0,0.0,UNIT,11980000.0,0.0,5990000.0
"",AIO ASUS EXPERT CENTER P400 CORE 3 100U 8GB 512GB SSD WIN 11,1.0,0.0,UNIT,8490000.0,0.0,8490000.0
"","AIO HP PRO ONE 240 G10 CORE I3 - N300 8GB 512GB SSD 23.8"" WIN 11",2.0,0.0,UNIT,15600000.0,0.0,7800000.0
"",AIO LENOVO A100 INTEL N100 8GB 512GB SSD 24 INCS WIN 11,2.0,0.0,UNIT,13700000.0,0.0,6850000.0
"",ALFA INK ART PAPER BLACK,10.0,0.0,PCS,899100.0,0.0,89910.0
"",ART PAPER KOREA BK 70ML,6.0,0.0,PCS,450000.0,0.0,75000.0
"",ART PAPER KOREA M 70ML,3.0,0.0,PCS,225000.0,0.0,75000.0
"",ASUS VIVOBOOK 14 A1404VAP - VIPS INTEL CORE 5 120U 16GB 512GB SSD WIN 11,1.0,0.0,UNIT,10290000.0,0.0,10290000.0
"",ASUS VIVOBOOK GO 14 E1404FA FHD AMD RYZEN 5 7520U 16GB 512GB SSD WIN 11 #,3.0,0.0,UNIT,29520000.0,0.0,9840000.0
"",ASUS VIVOBOOK GO 14 E1404GA FHD Ci3 - N305 8GB 256GB SSD WIN 11 #,1.0,0.0,UNIT,6950000.0,0.0,6950000.0
"",ASUS VIVOBOOK GO 14 E410KA FHD N4500 8GB 256GB SSD WIN 11 #,22.0,0.0,UNIT,115500000.0,0.0,5250000.0
"","AXIOO HYPE 1 N4020 4GB 128GB WIN 11 14"" #",10.0,0.0,UNIT,35900000.0,0.0,3590000.0
"",AXIOO HYPE 10 INTEL N4020 8 256 #,8.0,0.0,UNIT,35000000.0,0.0,4375000.0
"",AXIOO MYBOOK HYPE 7 AMD X7 - 2 AMD RYZEN 7 - 5825U 16GB 512GB SSD,1.0,0.0,UNIT,8640000.0,0.0,8640000.0
"",Acer Aspire Go 14 AG14 Core 5 120U 16GB(2x8) DDR4  512GB SSD W11,3.0,0.0,UNIT,28770000.0,0.0,9590000.0
"",BATERAI ACER ES1 432 AS16A8K / AS16A5K,1.0,0.0,PCS,220000.0,0.0,220000.0
"",BATERAI ACER Z476,1.0,0.0,PCS,220000.0,0.0,220000.0
"",BATERAI ASUS A13 B31N1911,2.0,0.0,PCS,672000.0,0.0,336000.0
