Supplier,Tanggal,Transaksi,No,Produk,Keterangan,Kuantitas,Satuan,Harga Satuan,Jumlah Tagihan,Total
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03805	,* ASUS TUF Gaming A15 FA506NCG AMD Ryzen 7 7445HS 16GB DDR5 512GB RTX3050 4GB W11,"",1.0,UNIT,11162162.162162,11162162.162162,11162162.162162
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03805	,Pajak,,"",,,1227837.83783782,12389999.99999982
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03806	,*LENOVO GAMING LOQ 15ARP10E AMD RYZEN 7 7735HS 16GB 512GB SSD RTX 3050 6GB WIN 11,"",1.0,UNIT,11522522.522523,11522522.522523,23912522.52252282
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03806	,Pajak,,"",,,1267477.47747753,25180000.00000035
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03808	,* BROTHER DCP L2540 DW,"",2.0,UNIT,2743243.243243,5486486.486486,30666486.48648635
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03808	,Pajak,,"",,,603513.51351346,31269999.99999981
CANDRA (BLESSING),13/06/2026	,Purchase Invoice,JL.2606.03668	,*ACER GO 14 AG14 CORE ULTRA 5 125H 16GB 512GB,"",1.0,UNIT,9900900.900901,9900900.900901,41170900.90090081
CANDRA (BLESSING),13/06/2026	,Purchase Invoice,JL.2606.03668	,Pajak,,"",,,1089099.09909911,42259999.99999992
CANDRA (BLESSING),08/06/2026	,Purchase Invoice,JL.2606.02032	,"* AIO ASUS A3202WBAK INTEL 7305 8GB 256GB SSD 21,5"" WIN 11","",2.0,UNIT,5396396.396396,10792792.792792,53052792.79279192
CANDRA (BLESSING),08/06/2026	,Purchase Invoice,JL.2606.02032	,Pajak,,"",,,1187207.20720712,54239999.99999904
PT. Surya Makmur Kreasindo (HJ),08/06/2026	,Purchase Invoice,PJL-26-06-00157	,* PRINTER EPSON L5290,"",2.0,UNIT,3423423.423423,6846846.846846,6846846.846846
PT. Surya Makmur Kreasindo (HJ),08/06/2026	,Purchase Invoice,PJL-26-06-00157	,Pajak,,"",,,753153.15315306,7599999.99999906
