Supplier,Kode Produk,Nama Produk,Satuan,Kuantitas,Jumlah
WULAN (DISCOUNT NOTEBOOK),	,KEYBOARD LAPTOP ASUS X441 (BLACK),PCS,6.0,363000.0
WULAN (DISCOUNT NOTEBOOK),	,KEYBOARD LAPTOP ASUS X541 BLACK,PCS,2.0,170000.0
WULAN (DISCOUNT NOTEBOOK),	,KEYBOARD ACER SWIFT 3 SF314 - 54,PCS,4.0,265000.000001
WULAN (DISCOUNT NOTEBOOK),	,LCD LAPTOP 14 TIPIS 30 PIN,PCS,1.0,397000.0
WULAN (DISCOUNT NOTEBOOK),	,SSD SONIX 256GB NVME PCIE,PCS,5.0,4200000.0
WULAN (DISCOUNT NOTEBOOK),	,KEYBOARD ACER A314-22 RYZEN,PCS,2.0,126000.0
WULAN (DISCOUNT NOTEBOOK),	,KEYBOARD HP PAVILION 15 - AB,PCS,1.0,78000.0
WULAN (DISCOUNT NOTEBOOK),	,KEYBOARD ACER 4732Z BLACK,PCS,2.0,156000.0
WULAN (DISCOUNT NOTEBOOK),	,KEYBOARD ASUS N43,PCS,2.0,128000.0
WULAN (DISCOUNT NOTEBOOK),	,KEYBOARD LAPTOP ASUS E202,PCS,1.0,65000.0
EKO HASAN,	,ADAPTOR PRINTER EPSON L360 / L120,PCS,2.0,130000.0
EKO HASAN,	,ADAPTOR / PSU EPSON L3110,PCS,3.0,405000.0

