Tanggal Pemesanan,No. Pemesanan,Jumlah Pemesanan,Status Pemesanan,Jumlah Pengiriman,Jumlah Faktur,Jumlah Pembayaran
21/01/2026,10050,6825000.0,Belum Dibayar,0.0,0.0,0.0
21/01/2026,10051,11920000.0,Belum Dibayar,0.0,0.0,0.0
21/01/2026,10049,8025000.0,Belum Dibayar,0.0,0.0,0.0
23/01/2026,10052,111500000.0,Selesai,0.0,111500000.0,111500000.0
29/01/2026,10053,73500000.0,Selesai,0.0,73500000.0,0.0
30/01/2026,10054,31200000.0,Selesai,0.0,31200000.0,31200000.0
01/02/2026,10055,10710000.0,Belum Dibayar,0.0,0.0,0.0
01/02/2026,10056,5077000.0,Belum Dibayar,0.0,0.0,0.0
04/02/2026,10060,7030000.0,Belum Dibayar,0.0,0.0,0.0
04/02/2026,10059,12340000.0,Selesai,0.0,12340000.0,12340000.0
04/02/2026,10057,8195000.0,Selesai,0.0,8195000.0,8195000.0
04/02/2026,10058,6170000.0,Selesai,0.0,6170000.0,6170000.0
05/02/2026,10061,7030000.0,Selesai,0.0,7030000.0,7030000.0
14/02/2026,10062,63750000.0,Selesai,0.0,63750000.0,63750000.0
17/02/2026,10063,2019000.0,Selesai,0.0,2019000.0,2019000.0
06/04/2026,10064,75125000.0,Selesai,0.0,75125000.0,75125000.0

