Supplier,Date,Transaksi,No.,Jatuh Tempo,Keterangan,Jumlah,Saldo
AGRES IT,14/04/2026	,Purchase Invoice,JKT-JKT01A-PC26042907	,13/06/2026,,143750000.0,143750000.0
AGRES IT,14/04/2026	,Purchase Invoice,JKT-JKT01A-NC26041699	,13/06/2026,,153750000.0,51250000.0
AGRES IT,15/04/2026	,Purchase Invoice,JKT-JKT01A-PC26042994	,14/06/2026,,84750000.0,84750000.0
AGRES IT,22/04/2026	,Purchase Invoice,JKT-JKT01A-PC26044186	,21/06/2026,MASUK,23700000.0,23700000.0
AGRES IT,09/05/2026	,Purchase Invoice,JKT-JKT01A-PC26051320	,08/07/2026,"KURANG 2 UNIT DI SURUH REKTUR

NXDT3SN001611002626X00	PR-LAP-AC-AL14-36P-C22J		ARIES BIMA	JKT01-DIS01

NXDT3SN001611002136X00	PR-LAP-AC-AL14-36P-C22J		ARIES BIMA	JKT01-DIS01",73080000.0,73080000.0
AGRES IT,18/05/2026	,Purchase Invoice,JKT-JKT01A-NC26052029	,17/07/2026,,38880000.0,38880000.0
AGRES IT,25/05/2026	,Purchase Invoice,JKT-JKT01A-PC26053324	,24/06/2026,MASUK,131250000.0,131250000.0
AGRES IT,01/06/2026	,Purchase Invoice,17722	,31/07/2026,,58320000.0,58320000.0
AGRES IT,08/06/2026	,Purchase Invoice,JKT-JKT01A-PC26060995	,29/06/2026,,35000000.0,35000000.0
AGUS (DORAN),01/04/2026	,Purchase Invoice,0420265240	,15/04/2026,,1290000.0,1290000.0
AGUS (DORAN),06/04/2026	,Purchase Invoice,17553	,05/07/2026,,5800000.0,5800000.0
AGUS (DORAN),06/04/2026	,Purchase Invoice,17554	,05/06/2026,TITIP BARANG AGUS,3890000.0,3890000.0
AGUS (DORAN),22/05/2026	,Purchase Invoice,052026167301	,21/06/2026,,90000.0,90000.0
AGUS (DORAN),23/05/2026	,Purchase Invoice,052026175914	,22/06/2026,,363600.0,363600.0
AGUS (DORAN),29/05/2026	,Purchase Invoice,052026217267	,28/06/2026,,2336000.0,2336000.0
AGUS (DORAN),08/06/2026	,Purchase Invoice,06202661090	,08/07/2026,,5614400.0,5614400.0
AGUS (DORAN),11/06/2026	,Purchase Invoice,06202687311	,11/07/2026,,10000000.0,10000000.0
AGUS (DORAN),12/06/2026	,Purchase Invoice,06202689708	,12/07/2026,,14799999.999996,14799999.999996
ANDY (JMK),18/05/2026	,Purchase Invoice,2605055	,17/06/2026,,31300000.0,31300000.0
ANDY (JMK),25/05/2026	,Purchase Invoice,2605081	,24/06/2026,,4320000.0,4320000.0
ANDY (JMK),05/06/2026	,Purchase Invoice,2606019	,05/07/2026,,1125000.0,1125000.0
ANDY (JMK),09/06/2026	,Purchase Invoice,2606034	,09/07/2026,ADA YANG KURANG ,3042500.0,3042500.0
BETA COM,26/05/2026	,Purchase Invoice,FK 5217	,25/06/2026,,2850000.0,2850000.0
BETA COM,02/06/2026	,Purchase Invoice,FK 5262	,02/07/2026,MASUK,31675000.0,31675000.0
BETA COM,05/06/2026	,Purchase Invoice,FK5320	,05/07/2026,,16800000.0,16800000.0
BETA COM,08/06/2026	,Purchase Invoice,FK 5335	,08/07/2026,,15705000.0,15705000.0
BETA COM,09/06/2026	,Purchase Invoice,FK 5352	,09/07/2026,,21696000.0,21696000.0
BETA COM,11/06/2026	,Purchase Invoice,FK 5384	,11/07/2026,,6330000.0,6330000.0
BETA COM,15/06/2026	,Purchase Invoice,FK5415	,15/07/2026,,4172000.0,4172000.0
