Tanggal,Transaksi,Nomor,Kategori,Deskripsi,Supplier,Jumlah,Tax,Status,Sisa Tagihan
02/01/2021	,Expense,10039	,PROGRAM TOKO,"",JURNAL,3995804.0,0.0,Paid,0.0
02/01/2021	,Expense,10040	,KONSULTAN PAJAK,"",KONSULTAN PAJAK,3200000.0,0.0,Paid,0.0
06/01/2021	,Expense,10041	,PLN,"",PLN,276088.0,0.0,Paid,0.0
06/01/2021	,Expense,10042	,PDAM,"",PDAM,42490.0,0.0,Paid,0.0
06/01/2021	,Expense,10043	,telkom,"",telkom,618498.0,0.0,Paid,0.0
11/01/2021	,Expense,10044	,pajak cv,PPN,PAJAK CV TIGA NUSA,12542718.0,0.0,Paid,0.0
11/01/2021	,Expense,10044	,pajak cv,PPH,PAJAK CV TIGA NUSA,4126479.0,0.0,Paid,0.0
01/02/2021	,Expense,10045	,pajak cv,"",PAJAK CV TIGA NUSA,3200000.0,0.0,Paid,0.0
06/02/2021	,Expense,10050	,Beban Pajak - Kini,PBK PAJAK ARIES PPH FINAL JAN 21,PAJAK ARIES,820450.0,0.0,Paid,0.0
06/02/2021	,Expense,10048	,Beban Pajak - Kini,PAJAK CV PPH 23 JAN 21,PAJAK CV TIGA NUSA,73996.0,0.0,Paid,0.0
06/02/2021	,Expense,10052	,telkom,"",telkom,618498.0,0.0,Paid,0.0
06/02/2021	,Expense,10049	,Beban Pajak - Kini,PAJAK CV PPH FINAL JAN 21,PAJAK CV TIGA NUSA,252955.0,0.0,Paid,0.0
06/02/2021	,Expense,10046	,Beban Pajak - Kini,PAJAK AGUS PPH FINAL JAN 21,PAJAK AGUS,662510.0,0.0,Paid,0.0
06/02/2021	,Expense,10051	,PLN,"",PLN,312217.0,0.0,Paid,0.0
06/02/2021	,Expense,10047	,Beban Pajak - Kini,PAJAK RAHMAT PPH FINAL JAN 21,PAJAK RAHMAT,842590.0,0.0,Paid,0.0
16/02/2021	,Expense,10053	,PDAM,"",PDAM,52138.0,0.0,Paid,0.0
02/03/2021	,Expense,10054	,Gaji,KONSULTAN,KONSULTAN PAJAK,3200000.0,0.0,Paid,0.0
09/03/2021	,Expense,10055	,Beban Pajak - Kini,"",PAJAK ARIES,777410.0,0.0,Paid,0.0
02/04/2021	,Expense,10060	,Beban Pajak - Kini,"",PAJAK RAHMAT,800815.0,0.0,Paid,0.0
02/04/2021	,Expense,10059	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,492227.0,0.0,Paid,0.0
02/04/2021	,Expense,10058	,Beban Pajak - Kini,"",PAJAK AGUS,402755.0,0.0,Paid,0.0
05/04/2021	,Expense,10061	,PLN,"",PLN,208082.0,0.0,Paid,0.0
05/04/2021	,Expense,10062	,telkom,"",telkom,618498.0,0.0,Paid,0.0
07/04/2021	,Expense,10067	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,640227.0,0.0,Paid,0.0
07/04/2021	,Expense,10065	,Beban Pajak - Kini,"",PAJAK ARIES,1482500.0,0.0,Paid,0.0
07/04/2021	,Expense,10066	,Beban Pajak - Kini,"",PAJAK RAHMAT,1700250.0,0.0,Paid,0.0
07/04/2021	,Expense,10064	,Beban Pajak - Kini,"",PAJAK AGUS,1102900.0,0.0,Paid,0.0
07/04/2021	,Expense,10063	,PDAM,"",PDAM,42490.0,0.0,Paid,0.0
04/05/2021	,Expense,10068	,KONSULTAN PAJAK,"",KONSULTAN PAJAK,3200000.0,0.0,Paid,0.0
05/05/2021	,Expense,10071	,Beban Pajak - Kini,"",PAJAK ARIES,1142145.0,0.0,Paid,0.0
05/05/2021	,Expense,10069	,PLN,"",PLN,220833.0,0.0,Paid,0.0
05/05/2021	,Expense,10070	,telkom,"",telkom,618498.0,0.0,Paid,0.0
05/05/2021	,Expense,10072	,Beban Pajak - Kini,"",PAJAK AGUS,1075030.0,0.0,Paid,0.0
05/05/2021	,Expense,10073	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,968841.0,0.0,Paid,0.0
05/05/2021	,Expense,10074	,Beban Pajak - Kini,"",PAJAK RAHMAT,1895635.0,0.0,Paid,0.0
04/06/2021	,Expense,10075	,KONSULTAN PAJAK,"",KONSULTAN PAJAK,3200000.0,0.0,Paid,0.0
05/06/2021	,Expense,10077	,telkom,"",telkom,618498.0,0.0,Paid,0.0
05/06/2021	,Expense,10076	,PLN,"",PLN,209144.0,0.0,Paid,0.0
07/06/2021	,Expense,10081	,Beban Pajak - Kini,"",PAJAK ARIES,1393250.0,0.0,Paid,0.0
07/06/2021	,Expense,10079	,Beban Pajak - Kini,"",PAJAK AGUS,1375135.0,0.0,Paid,0.0
07/06/2021	,Expense,10080	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,1405179.0,0.0,Paid,0.0
07/06/2021	,Expense,10078	,Beban Pajak - Kini,"",PAJAK RAHMAT,1662075.0,0.0,Paid,0.0
14/06/2021	,Expense,10082	,PDAM,"",PDAM,39990.0,0.0,Paid,0.0
