Tanggal,Tipe Transaksi,Nomor Transaksi,Nama Panggilan,Status Hari Ini,Memo,Total,Sisa Tagihan
03/01/2026,Faktur Pembelian,012026614811,AGUS (DORAN),Lunas,"MASUK

bayar tgl 2 2 26",11925000.0,0.0
05/01/2026,Faktur Pembelian,17290,ENDRA TELKOMSEL,Lunas,"",4200000.0,0.0
05/01/2026,Faktur Pembelian,JL.2601.00741,CANDRA (BLESSING),Lunas,"MASUK 

VIA BSA",6735000.0,0.0
05/01/2026,Faktur Pembelian,JL.2601.00703,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",41630000.0,0.0
05/01/2026,Faktur Pembelian,JL.2601.00832,CANDRA (BLESSING),Lunas,MASUK,3495000.0,0.0
05/01/2026,Faktur Pembelian,JL.2601.00934,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",30080000.0,0.0
05/01/2026,Faktur Pembelian,jl.2601.00979,CANDRA (BLESSING),Lunas,"masuk

via bsa",12490000.0,0.0
05/01/2026,Faktur Pembelian,JKT-JKT01A-NC26010066,AGRES IT,Lunas,MASUK,23550000.0,0.0
05/01/2026,Faktur Pembelian,JKT-JKT01A-PC26010535,AGRES IT,Lunas,"",2800000.0,0.0
06/01/2026,Faktur Pembelian,JL.2601.01160,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",21530000.0,0.0
06/01/2026,Faktur Pembelian,17291,FIKTIF BELI,Lunas,"",2040000.0,0.0
06/01/2026,Faktur Pembelian,JL.2601.01323,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA ",56640000.0,0.0
06/01/2026,Faktur Pembelian,JL.2601.01324,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA ",50650000.0,0.0
06/01/2026,Faktur Pembelian,JL.2601.01347,CANDRA (BLESSING),Lunas,MASUK,525000.0,0.0
06/01/2026,Faktur Pembelian,JL.2601.01220,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",14290000.0,0.0
06/01/2026,Faktur Pembelian,PJL-26-01-00038,PT. Surya Makmur Kreasindo (HJ),Lunas,"MASUK

VIA BPM ",14595000.0,0.0
06/01/2026,Faktur Pembelian,00705965_036,PRIYO (K GALAXY),Lunas,BAYAR 26 01,3850000.0,0.0
06/01/2026,Faktur Pembelian,002299,LILI (PLATINUM),Lunas,"",780000.0,0.0
06/01/2026,Faktur Pembelian,FK 3667,BETA COM,Lunas,"",20500000.0,0.0
06/01/2026,Faktur Pembelian,00705998_036,PRIYO (K GALAXY),Lunas,BAYAR 26 01,3250000.0,0.0
06/01/2026,Faktur Pembelian,17333,GLOBAL FIBER OPTIC,Lunas,MASUK,13700000.0,0.0
06/01/2026,Faktur Pembelian,JKT-JKT01A-PC26010815,AGRES IT,Lunas,"",92200000.0,0.0
07/01/2026,Faktur Pembelian,JL.2601.01465,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",25500000.0,0.0
07/01/2026,Faktur Pembelian,17293,FIKTIF BELI,Lunas,"",645000.0,0.0
07/01/2026,Faktur Pembelian,JL.2601.01466,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",9940000.0,0.0
07/01/2026,Faktur Pembelian,JL.2601.01587,CANDRA (BLESSING),Lunas,"MASUK

",1075000.0,0.0
07/01/2026,Faktur Pembelian,JL.2601.01589,CANDRA (BLESSING),Lunas,MASUK,2300000.0,0.0
07/01/2026,Faktur Pembelian,JL.2601.01724,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",16709999.999999,0.0
07/01/2026,Faktur Pembelian,00706004_036,PRIYO (K GALAXY),Lunas,BAYAR 26 01,1975000.0,0.0
07/01/2026,Faktur Pembelian,002301,LILI (PLATINUM),Lunas,"",760000.0,0.0
07/01/2026,Faktur Pembelian,FK3690,BETA COM,Lunas,"MASUK

",20000000.0,0.0
07/01/2026,Faktur Pembelian,26010622,DWI DUTA SARANA COMPUTER SURABAYA,Lunas,MASUK,6058555.0,0.0
07/01/2026,Faktur Pembelian,PJL-26-01-00067,PT. Surya Makmur Kreasindo (HJ),Lunas,"MASUK
BAYAR 22 1 ",11280000.0,0.0
07/01/2026,Faktur Pembelian,JL5526010224,YULI (HP CENTRE),Lunas,"",34399999.999999,0.0
07/01/2026,Faktur Pembelian,JKT-JKT01A-PC26010838,AGRES IT,Lunas,"",289200000.0,0.0
07/01/2026,Faktur Pembelian,JN-N/SBY//070126/005,PT. INDO WARNA MULIA ( ALFA INK ),Lunas,bayar,2625000.0,0.0
07/01/2026,Faktur Pembelian,JN-N/SBY//070126/004,PT. INDO WARNA MULIA ( ALFA INK ),Lunas,bayar,19250000.0,0.0
08/01/2026,Faktur Pembelian,JL.2601.01789,CANDRA (BLESSING),Lunas,"MASUK

BAYAR 22 1 ",1095000.0,0.0
08/01/2026,Faktur Pembelian,17295,FIKTIF BELI,Lunas,"",645000.0,0.0
08/01/2026,Faktur Pembelian,JL.2601.01843,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",15100000.0,0.0
08/01/2026,Faktur Pembelian,JL.2601.01844,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",7520000.0,0.0
08/01/2026,Faktur Pembelian,17296,ONLINE,Lunas,"",1650000.0,0.0
08/01/2026,Faktur Pembelian,JL.2601.02029,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",12700000.0,0.0
08/01/2026,Faktur Pembelian,JL.2601.02032,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA ",250000.0,0.0
08/01/2026,Faktur Pembelian,JL.2601.02033,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA 

BAYAR 22 1 ",250000.0,0.0
08/01/2026,Faktur Pembelian,ONLINE SBY / INV/2026/002725,WULAN (DISCOUNT NOTEBOOK),Lunas,MASUK,307000.0,0.0
08/01/2026,Faktur Pembelian,SS0RDTDI-26010245,PT TERA DATA INDONUSA,Lunas,MASUK,150000.000001,1.0e-06
08/01/2026,Faktur Pembelian,012026504435,AGUS (DORAN),Lunas,"",5374500.0,0.0
08/01/2026,Faktur Pembelian,01202650450,AGUS (DORAN),Lunas,BAYAR 22 1 ,37762500.0,0.0
08/01/2026,Faktur Pembelian,17342,IQ TRONIK,Lunas,"",5200000.0,0.0
08/01/2026,Faktur Pembelian,FK3707,BETA COM,Lunas,MASUK,41850000.0,0.0
08/01/2026,Faktur Pembelian,00706087_036,PRIYO (K GALAXY),Lunas,BAYAR 26 01,9290000.0,0.0
08/01/2026,Faktur Pembelian,JL202600000026,EDISON ATK,Lunas,"",2024999.999973,0.0
09/01/2026,Faktur Pembelian,17297,ONLINE,Lunas,"",925000.0,0.0
09/01/2026,Faktur Pembelian,17298,ONLINE,Lunas,"",305000.0,0.0
09/01/2026,Faktur Pembelian,17299,ONLINE,Lunas,"",38000.0,0.0
09/01/2026,Faktur Pembelian,17300,ONLINE,Lunas,"",370000.0,0.0
09/01/2026,Faktur Pembelian,17302,ONLINE,Lunas,"",290000.0,0.0
09/01/2026,Faktur Pembelian,17303,ONLINE,Lunas,"",1290000.0,0.0
09/01/2026,Faktur Pembelian,JL.2601.02170,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA ",1980000.0,0.0
09/01/2026,Faktur Pembelian,JL.2601.02172,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",2970000.0,0.0
09/01/2026,Faktur Pembelian,17304,ONLINE,Lunas,"",312000.0,0.0
09/01/2026,Faktur Pembelian,17308,FIKTIF BELI,Lunas,"",4100000.0,0.0
09/01/2026,Faktur Pembelian,17309,FIKTIF BELI,Lunas,"",2200000.0,0.0
09/01/2026,Faktur Pembelian,17310,FIKTIF BELI,Lunas,"",3045000.0,0.0
09/01/2026,Faktur Pembelian,17311,FIKTIF BELI,Lunas,"",3570000.0,0.0
09/01/2026,Faktur Pembelian,17312,FIKTIF BELI,Lunas,"",4896000.0,0.0
09/01/2026,Faktur Pembelian,17313,FIKTIF BELI,Lunas,"",3570000.0,0.0
09/01/2026,Faktur Pembelian,17314,FIKTIF BELI,Lunas,"",0.0,0.0
09/01/2026,Faktur Pembelian,17315,BENGKEL NOTEBOOK,Lunas,"",1600000.0,0.0
09/01/2026,Faktur Pembelian,JL.2601.02313,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",990000.0,0.0
09/01/2026,Faktur Pembelian,17316,KETUT DUARAYASA SUPLAYER,Lunas,"masuk

DVR 4CH yang dikirim hanya 2
DVR 4CH KOMPLIT 4 BIJI",12600000.0,0.0
09/01/2026,Faktur Pembelian,00706273_036,PRIYO (K GALAXY),Lunas,"MASUK
BAYAR 26 01",7800000.0,0.0
09/01/2026,Faktur Pembelian,17341,FIKTIF BELI,Lunas,"",1144000.0,0.0
09/01/2026,Faktur Pembelian,002302,LILI (PLATINUM),Lunas,MASUK,4340000.0,0.0
09/01/2026,Faktur Pembelian,17345,PT TERA DATA INDONUSA,Lunas,"",440000.0,0.0
09/01/2026,Faktur Pembelian,JL0000052466,IP COM TOKO,Lunas,"",8575000.0,0.0
10/01/2026,Faktur Pembelian,JL.2601.02446,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",9940000.0,0.0
10/01/2026,Faktur Pembelian,JL.2601.02502,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",1302000.0,0.0
10/01/2026,Faktur Pembelian,JL.2601.02611,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",2990000.0,0.0
10/01/2026,Faktur Pembelian,JL.2601.02615,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",2990000.0,0.0
10/01/2026,Faktur Pembelian,JL.2601.02646,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",3890000.000001,0.0
10/01/2026,Faktur Pembelian,17329,CV. MITRA TEGUH DISTRIBUSI,Lunas,"",25112686.0,0.0
10/01/2026,Faktur Pembelian,ONLINE SBY / INV/2026/006082,WULAN (DISCOUNT NOTEBOOK),Lunas,"",10731000.0,0.0
10/01/2026,Faktur Pembelian,002305,LILI (PLATINUM),Lunas,"",6114000.0,0.0
10/01/2026,Faktur Pembelian,002303,LILI (PLATINUM),Lunas,"",7252500.0,0.0
10/01/2026,Faktur Pembelian,JL20260000043,EDISON ATK,Lunas,bayar ,9151300.00004,4.0e-05
11/01/2026,Faktur Pembelian,17318,FIKTIF BELI,Lunas,"",600000.0,0.0
11/01/2026,Faktur Pembelian,17319,FIKTIF BELI,Lunas,"",8320000.0,0.0
11/01/2026,Faktur Pembelian,17320,FIKTIF BELI,Lunas,"",11200000.0,0.0
11/01/2026,Faktur Pembelian,17321,HARAPAN BARU,Lunas,"",3170000.0,0.0
11/01/2026,Faktur Pembelian,17322,FIKTIF BELI,Lunas,"",2720000.0,0.0
11/01/2026,Faktur Pembelian,17323,FIKTIF BELI,Lunas,"",2960000.0,0.0
11/01/2026,Faktur Pembelian,17324,FIKTIF BELI,Lunas,"",1200000.0,0.0
11/01/2026,Faktur Pembelian,17325,FIKTIF BELI,Lunas,"",3040000.0,0.0
11/01/2026,Faktur Pembelian,17326,FIKTIF BELI,Lunas,"",131000.0,0.0
11/01/2026,Faktur Pembelian,17327,FIKTIF BELI,Lunas,"",262000.0,0.0
11/01/2026,Faktur Pembelian,17328,GREY COM,Lunas,"",2490000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02735,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",325000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02733,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA

BAYAR ",650000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02736,CANDRA (BLESSING),Lunas,"MASUK
VIA BSA

BAYAR ",24190000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02740,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",4192000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02741,CANDRA (BLESSING),Lunas,VIA BSA,3046000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02747,CANDRA (BLESSING),Lunas,MASUK,2590000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02746,CANDRA (BLESSING),Lunas,"MASUK

BAYAR ",1295000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02750,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",2015000.000001,0.0
12/01/2026,Faktur Pembelian,JL.2601.02751,CANDRA (BLESSING),Lunas,"MASUK

BAYAR ",2015000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02753,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA

BAYAR",8515000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02754,CANDRA (BLESSING),Lunas,"MASUK

",17030000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02755,CANDRA (BLESSING),Lunas,"MASUK

BAYAR ",7970000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02756,CANDRA (BLESSING),Lunas,MASUK,3512000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02761,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",877999.999999,0.0
12/01/2026,Faktur Pembelian,17331,ONLINE,Lunas,"",2120000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02991,CANDRA (BLESSING),Lunas,"MASUK

",24580000.0,0.0
12/01/2026,Faktur Pembelian,17332,FIKTIF BELI,Lunas,"",637000.0,0.0
12/01/2026,Faktur Pembelian,JL.2601.02992,CANDRA (BLESSING),Lunas,"MASUK
BAYAR 26 01",470000.0,0.0
12/01/2026,Faktur Pembelian,002306,LILI (PLATINUM),Lunas,"",735000.0,0.0
12/01/2026,Faktur Pembelian,002307,LILI (PLATINUM),Lunas,"",2480000.0,0.0
12/01/2026,Faktur Pembelian,FK 23759,BETA COM,Lunas,"",2850000.0,0.0
12/01/2026,Faktur Pembelian,00706371_036,PRIYO (K GALAXY),Lunas,"",9450000.0,0.0
12/01/2026,Faktur Pembelian,00706370_036,PRIYO (K GALAXY),Lunas,"",6230000.0,0.0
12/01/2026,Faktur Pembelian,JL0000052545,IP COM TOKO,Lunas,"",3450000.0,0.0
13/01/2026,Faktur Pembelian,17334,FIKTIF BELI,Lunas,"",120000.0,0.0
13/01/2026,Faktur Pembelian,17335,FIKTIF BELI,Lunas,"",1163500.0,0.0
13/01/2026,Faktur Pembelian,JL.2601.03220,CANDRA (BLESSING),Lunas,"MASUK

",57875000.0,0.0
13/01/2026,Faktur Pembelian,17336,DUAL RISKY,Lunas,"",400000.0,0.0
13/01/2026,Faktur Pembelian,17337,ONLINE,Lunas,"",1700000.0,0.0
13/01/2026,Faktur Pembelian,JL5526010417,YULI (HP CENTRE),Lunas,"",33899999.999999,0.0
13/01/2026,Faktur Pembelian,ONLINE SBY / INV/2026/008593,WULAN (DISCOUNT NOTEBOOK),Lunas,"",645000.0,0.0
13/01/2026,Faktur Pembelian,JKT-JKT01A-PC26012050,AGRES IT,Lunas,"",298500000.0,0.0
