Product Code,Product Name,Unassigned,Total Quantity,Product Unit
"",*  BLUEPRINT PRINTER THERMAL BP - LITE 58X,0,0,PCS
"",*  BLUEPRINT SCANNER BARCODE OMNI 2D,0,0,PCS
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",0,0,UNIT
"",* ACER 3 A314 22 AMD 3020E 4GB 256GB SSD,0,0,UNIT
"",* ACER 3 A314 22 AMD ATHLON SILVER 3050U 4GB SSD 256GB WIN 11,0,0,UNIT
"",* ACER 3 A314 23M RYZEN 5 7520U 8GB 512GB SSD WIN 11 PURE SILVER,0,0,UNIT
"","* ACER 3 A314-22-R2C4 AMD RYZEN TM 3 3250U 4GB SSD 256GB 14""",0,0,UNIT
"","* ACER 3 SLIM A314 35 INTEL N6000 4GB 256GB SSD 14 "" (KS)",0,0,UNIT
"",* ACER 5 A514 - 54 - 3427-Ci3-1115G4 4GB 512GB SSD WIN 10,0,0,UNIT
"","* ACER 5 A514 - 54G - 32GJ Ci3-1115G4 8GB 512GB SSD MX 350 2GB WIN 11 14""",0,0,UNIT
"",* ACER 5 A514 - 55 Ci5 - 1235U 8GB 512GB SSD WIN 11,0,0,UNIT
"",* ACER 5 A514 I7-1255U 8GB 512GB SSD WIN11,0,0,UNIT
"",* ACER 5 A514-54 Ci5-1135G7 8GB 512GB SSD VGA IRIS XE,0,0,UNIT
"",* ACER 5 A514-54G-78MW Ci7-1165G7 8GB 512GB SSD VGA,0,0,UNIT
"",* ACER 5 SLIM A514 -54 CI3-1115G4 4GB 512GB SSD W11,0,0,UNIT
"","* ACER 5 SLIM A514 54  I3-1115G4 4GB 256 SSD 14""",0,0,UNIT
"",* ACER 5 SPIN 14 A5SP14 - 51MTN Ci7 1355U 16GB 512GB SSD INTEL IRIS XE WIN 11,0,0,UNIT
"",* ACER A514 56P I5-1335U 8GB SSD 512GB WIN 11 #,0,0,UNIT
"",* ACER AL14-31P INTEL N100 8GB 512GB WIN 11 #,0,0,UNIT
"",* ACER ASPIRE 14 A14 51M CORE 7 150U 16GB 512GB SSD WIN 11 #,0,0,UNIT
