Kode Barang,Barang,Tanggal,Tipe Transaksi,No. Transaksi,Deskripsi,Mutasi,Stok di Tangan,Unit,Harga Rata-Rata,Harga Beli/Jual,Nilai
"",*  BLUEPRINT PRINTER THERMAL BP - LITE 58X,20/06/2026,Saldo Awal,"","","",0.0,PCS,232432.432432,360360.36036,0.0
"",*  BLUEPRINT SCANNER BARCODE OMNI 2D,20/06/2026,Saldo Awal,"","","",0.0,PCS,573873.873874,630630.630631,0.0
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",20/06/2026,Saldo Awal,"","","",0.0,UNIT,4011326.78841,4594594.594595,0.0
"",* ACER 3 A314 22 AMD 3020E 4GB 256GB SSD,20/06/2026,Saldo Awal,"","","",0.0,UNIT,3547991.823848,3693693.693694,0.0
"",* ACER 3 A314 22 AMD ATHLON SILVER 3050U 4GB SSD 256GB WIN 11,20/06/2026,Saldo Awal,"","","",0.0,UNIT,3761261.261261,3873873.873874,0.0
"",* ACER 3 A314 23M RYZEN 5 7520U 8GB 512GB SSD WIN 11 PURE SILVER,20/06/2026,Saldo Awal,"","","",0.0,UNIT,5932432.432432,6576576.576577,0.0
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,20/06/2026,Saldo Awal,"","","",0.0,UNIT,5098025.206806,5405405.405405,0.0
"","* ACER 3 A314-22-R2C4 AMD RYZEN TM 3 3250U 4GB SSD 256GB 14""",20/06/2026,Saldo Awal,"","","",0.0,UNIT,4819350.600601,4774774.774775,0.0
"",* ACER 3 Slim A314 - 35 - C8Z3 N5100 4GB 1TB HDD WIN10,20/06/2026,Saldo Awal,"","","",0.0,UNIT,5090909.090909,5727272.727273,0.0
"",* ACER 3 SLIM A314 35 INTEL N5100 8GB 256GB SSD WIN 11,20/06/2026,Saldo Awal,"","","",0.0,UNIT,4121621.621622,1351351.351351,0.0
"","* ACER 3 SLIM A314 35 INTEL N6000 4GB 256GB SSD 14 "" (KS)",20/06/2026,Saldo Awal,"","","",0.0,UNIT,3918918.918919,3963963.963964,0.0
