Kode Barang,Barang,Tanggal,Tipe Transaksi,No. Transaksi,Deskripsi,Mutasi,Stok di Tangan,Unit,Harga Rata-Rata,Harga Beli/Jual,Nilai
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,15/07/2021,Purchase Invoice,JL.2107.05028,"",18.0,18.0,UNIT,4681818.181818,4681818.181818,84272727.272724
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,18/07/2021,Sales Invoice,TN.20211511,"",-1.0,17.0,UNIT,4681818.181818,5136363.636364,79590909.090906
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,19/07/2021,Sales Invoice,TN.20211515,"",-1.0,16.0,UNIT,4681818.181818,5136363.636364,74909090.909088
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,21/07/2021,Sales Invoice,TN.20211516,"",-1.0,15.0,UNIT,4681818.181818,4909090.909091,70227272.72727
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,25/07/2021,Sales Invoice,TN.20211537,"",-1.0,14.0,UNIT,4681818.181818,4954545.454545,65545454.545452
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,28/07/2021,Sales Invoice,TN.20211557,"",-1.0,13.0,UNIT,4681818.181818,4954545.454545,60863636.363634
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,29/07/2021,Sales Invoice,TN.20211561,"",-1.0,12.0,UNIT,4681818.181818,4954545.454545,56181818.181816
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,29/07/2021,Sales Invoice,TN.20211562,"",-1.0,11.0,UNIT,4681818.181818,4954545.454545,51499999.999998
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,02/08/2021,Sales Invoice,TN.20211575,"",-1.0,10.0,UNIT,4681818.181818,5000000.0,46818181.81818
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,02/08/2021,Sales Invoice,TN.20211576,"",-1.0,9.0,UNIT,4681818.181818,5000000.0,42136363.636362
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,06/08/2021,Sales Invoice,TN.20211600,"",-1.0,8.0,UNIT,4681818.181818,5181818.181818,37454545.454544
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,07/08/2021,Sales Invoice,TN.20211601,"",-1.0,7.0,UNIT,4681818.181818,5181818.181818,32772727.272726
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,08/08/2021,Sales Invoice,TN.20211606,"",-1.0,6.0,UNIT,4681818.181818,5090909.090909,28090909.090908
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,11/08/2021,Sales Invoice,TN.20211612,"",-1.0,5.0,UNIT,4681818.181818,5000000.0,23409090.90909
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,11/08/2021,Sales Invoice,TN.20211613,"",-1.0,4.0,UNIT,4681818.181818,5000000.0,18727272.727272
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,11/08/2021,Sales Invoice,TN.20211614,"",-1.0,3.0,UNIT,4681818.181818,5000000.0,14045454.545454
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,12/08/2021,Sales Invoice,TN.20211617,"",-1.0,2.0,UNIT,4681818.181818,5000000.0,9363636.363636
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,12/08/2021,Sales Invoice,TN.20211619,"",-1.0,1.0,UNIT,4681818.181818,5000000.0,4681818.181818
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,12/08/2021,Sales Invoice,TN.20211620,"",-1.0,0.0,UNIT,4681818.181818,5000000.0,0.0
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,28/09/2021,Purchase Invoice,JL.2109.09396,"",2.0,2.0,UNIT,5272727.272727,5272727.272727,10545454.545454
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,06/10/2021,Sales Invoice,TN.20211813,"",-1.0,1.0,UNIT,5272727.272727,6090909.090909,5272727.272727
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,08/10/2021,Sales Invoice,TN.20211827,"",-1.0,0.0,UNIT,5272727.272727,5818181.818182,0.0
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,18/10/2021,Purchase Invoice,JL5521100785,"",6.0,6.0,UNIT,5445454.545455,5445454.545455,32672727.27273
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,23/10/2021,Purchase Invoice,JL.2110.07905,"",10.0,16.0,UNIT,5394318.181818,5363636.363636,86309090.909088
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,27/10/2021,Sales Invoice,TN.20211914,iban labuan bajo,-1.0,15.0,UNIT,5394318.181818,5727272.727273,80914772.72727
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,28/10/2021,Sales Invoice,TN.20211918,"",-1.0,14.0,UNIT,5394318.181818,5636363.636364,75520454.545452
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/10/2021,Sales Invoice,TN.20211930,"",-1.0,13.0,UNIT,5394318.181818,5590909.090909,70126136.363634
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/10/2021,Sales Invoice,TN.20211932,"",-2.0,11.0,UNIT,5394318.181818,5636363.636364,59337499.999998
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,02/11/2021,Sales Invoice,TN.20211917,"KO AGUS 

",-2.0,9.0,UNIT,5394318.181818,5409090.909091,48548863.636362
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,02/11/2021,Purchase Invoice,JL.2111.00563,"",10.0,19.0,UNIT,5421232.057416,5445454.545455,103003409.09090401
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,02/11/2021,Purchase Invoice,JL.2111.00925,"",40.0,59.0,UNIT,5214233.436055,5115909.090909,307639772.727245
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,02/11/2021,Sales Invoice,TN.20211942,"",-1.0,58.0,UNIT,5214233.436055,5409090.909091,302425539.29118997
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,02/11/2021,Sales Invoice,TN.20211947,"",-1.0,57.0,UNIT,5214233.436055,5409090.909091,297211305.855135
